name,eci_id,const_id
Howrah,,1925
Uluberia,,1926
Srerampur,,1927
Hooghly,,1928
Arambagh,,1929
Tamluk,,1930
Kanthi,,1931
Ghatal,,1932
Jhargram,,1933
Medinipur,,1934
Purulia,,1935
Bankura,,1936
Bishnupur,,1937
Bardhaman Purba,,1938
Bardhaman Durgapur,,1939
Asansol,,1940
Bolpur,,1941
Birbhum,,1942
Rajmahal,,2001
Dumka,,2002
Godda,,2003
Chatra,,2004
Kodarma,,2005
Giridih,,2006
Dhanbad,,2007
Ranchi,,2008
Jamshedpur,,2009
Singhbhum,,2010
Khunti,,2011
Lohardaga,,2012
Palamu,,2013
Hazaribagh,,2014
Bargarh,,2101
Sundargarh,,2102
Sambalpur,,2103
Keonjhar,,2104
Mayurbhanj,,2105
Balasore,,2106
Bhadrak,,2107
Jajpur,,2108
Dhenkanal,,2109
Bolangir,,2110
Kalahandi,,2111
Nabarangpur,,2112
Kandhamal,,2113
Cuttack,,2114
Kendrapara,,2115
Jagatsinghpur,,2116
Puri,,2117
Bhubaneswar,,2118
Aska,,2119
Berhampur,,2120
Koraput,,2121
SURGUJA,,2201
RAIGARH,,2202
JANJGIR-CHAMPA,,2203
KORBA,,2204
BILASPUR,,2205
RAJNANDGAON,,2206
DURG,,2207
RAIPUR,,2208
MAHASAMUND,,2209
BASTAR,,2210
KANKER,,2211
MORENA,,2301
BHIND,,2302
GWALIOR,,2303
GUNA,,2304
SAGAR,,2305
TIKAMGARH,,2306
DAMOH,,2307
KHAJURAHO,,2308
SATNA,,2309
REWA,,2310
SIDHI,,2311
SHAHDOL,,2312
JABALPUR,,2313
MANDLA,,2314
BALAGHAT,,2315
CHHINDWARA,,2316
